wdid,facility_name,region,county,place_type,year,ml_risk_score,ml_risk_pct,ml_percentile,total_actions_24mo,avg_severity_24mo,total_outstanding,monetary_rate_24mo,escalation_ratio
2 071051001,"Phillips 66 (formerly ConocoPhillips) San Francisco Refinery, Rodeo",2,Contra Costa,Petroleum Refinery,2014,0.3156486627519092,31.6,96.8,3,3.0,0.0,0.3333333333333333,1.0
5A290104003,Lake of the Pines WWTP,5S,Nevada,Wastewater Treatment Facility,2013,0.31142405789039124,31.1,96.7,5,3.5,0.0,0.2,1.0
5C500108001,"Turlock City, Turlock Regional Water Quality Control Facility",5S,Stanislaus,Wastewater Treatment Facility,2017,0.30939109895308486,30.9,96.6,6,3.0,0.0,0.0,1.0
2 071032001,City of Pinole WWTP,2,Contra Costa,Wastewater Treatment Facility,2017,0.30537143270334294,30.5,96.6,3,3.3333333333333335,1500.0,0.3333333333333333,1.0
5A040120001,Paradise WTP,5R,Butte,Water Treatment Plant,2017,0.3032447930065015,30.3,96.5,3,4.333333333333333,0.0,0.3333333333333333,1.0
1B02197CNME,Jon Green Vineyard Development,1,Mendocino,Timber Harvesting,2011,0.301978820321763,30.2,96.5,3,3.6666666666666665,0.0,0.3333333333333333,1.0
4B196400060,The Concourse Hotel at Los Angeles International Airport,4,Los Angeles,Domestic Site NEC,2009,0.3011811782075284,30.1,96.4,3,4.333333333333333,0.0,0.3333333333333333,1.0
1B82045OSON,SCWA Russian River CSD,1,Sonoma,Wastewater Treatment Facility,2001,0.2923342270659989,29.2,96.3,3,3.3333333333333335,0.0,0.3333333333333333,1.0
2 019320001,Bottling Group LLC,2,Alameda,Manufacturing NEC,2004,0.28156619730193644,28.2,96.3,3,4.333333333333333,0.0,0.3333333333333333,1.0
3 401076001,Cypress Ridge Sewer Facility,3,San Luis Obispo,Wastewater Treatment Facility,2008,0.27960172623687995,28.0,96.2,5,2.6,0.0,0.2,1.0
5D152037001,Bear Valley CSD WWTF,5F,Kern,Wastewater Treatment Facility,2010,0.27723985624021297,27.7,96.1,3,4.0,0.0,0.3333333333333333,1.0
6B360109001,Victor Valley Wastewater Reclamation Authority WTP,6B,San Bernardino,Wastewater Treatment Facility,2014,0.2765150266674848,27.7,96.1,3,4.333333333333333,0.0,0.3333333333333333,1.0
2 417019001,Millbrae WPCP,2,San Mateo,Wastewater Treatment Facility,2011,0.276377573457484,27.6,96.0,4,2.75,0.0,0.25,1.0
9 000000910,7-11 Store 22894 Remed,9,San Diego,Facility,2003,0.27195149461281376,27.2,96.0,7,2.8333333333333335,0.0,0.14285714285714285,1.0
7A330104012,Coachella SD WWTP,7,Riverside,Wastewater Treatment Facility,2012,0.26904314360288445,26.9,95.9,7,3.0833333333333335,0.0,0.14285714285714285,1.0
7A130703011,US Navy Naval Air Facility WWTP,7,Imperial,Wastewater Treatment Facility,2012,0.2662699955021483,26.6,95.8,6,2.0,0.0,0.0,1.0
3 400006001,"California Polytechnic University, Confined Animal Waste",3,San Luis Obispo,Educational Facilities,2008,0.26271769537636813,26.3,95.8,5,4.75,60000.0,0.4,1.0
5B391078003,Mountain House WWTP,5S,San Joaquin,Wastewater Treatment Facility,2017,0.2622349057321806,26.2,95.7,4,4.0,0.0,0.25,1.0
2 215023001,Sausalito Marin City STP,2,Marin,Wastewater Treatment Facility,2010,0.25724095331162433,25.7,95.6,3,6.333333333333333,0.0,1.0,1.0
4B192090001,Redman Equipment & Mfg Co,4,Los Angeles,Manufacturing NEC,2001,0.25610598173011867,25.6,95.6,3,4.0,0.0,0.3333333333333333,1.0
